900:0.468696;900:0.123117;900:0.115899;900:0.047117
1000:0.839644;1000:0.280976;1000:0.170320;1000:0.065341
1100:1.225910;1100:0.308687;1100:0.242449;1100:0.062311
1200:1.692527;1200:0.404552;1200:0.355887;1200:0.116472
1300:2.232594;1300:0.477835;1300:0.413711;1300:0.098606
1400:2.926206;1400:0.637750;1400:0.514139;1400:0.116021
1500:3.765622;1500:0.759103;1500:0.660020;1500:0.151692
1600:4.664485;1600:0.871068;1600:0.846773;1600:0.160408
1700:5.952615;1700:1.144133;1700:1.057207;1700:0.192210
1800:7.030428;1800:1.187463;1800:1.141279;1800:0.275965
1900:8.445189;1900:1.566218;1900:1.377764;1900:0.256684
2000:10.008217;2000:1.684535;2000:1.633292;2000:0.305005
