2000:10.198672;2000:9.893841;2000:1.993576
2000:6.417865;2000:6.590545;2000:1.315261
2000:5.091544;2000:4.885546;2000:0.996828
2000:4.000053;2000:3.877909;2000:0.767252
2000:3.202007;2000:3.282236;2000:0.565536
2000:2.798019;2000:2.834820;2000:0.484727
2000:2.500518;2000:2.560504;2000:0.513600
2000:2.290462;2000:2.224723;2000:0.380236
2000:2.100656;2000:2.063796;2000:0.410723
2000:1.975652;2000:1.912653;2000:0.325764
2000:1.851707;2000:1.816485;2000:0.305347
2000:1.753761;2000:1.701832;2000:0.279227
2000:1.796268;2000:1.782334;2000:0.362223
2000:1.695512;2000:1.695250;2000:0.397120
2000:1.734006;2000:1.715143;2000:0.422972
2000:1.810646;2000:1.782750;2000:0.371845
2000:1.772620;2000:1.769470;2000:0.373746
2000:1.798713;2000:1.731229;2000:0.363287
2000:1.846765;2000:1.734240;2000:0.343921
2000:1.753086;2000:1.784465;2000:0.328331
2000:1.714686;2000:1.625699;2000:0.376924
2000:1.705336;2000:1.588999;2000:0.321080
2000:1.744710;2000:1.660036;2000:0.363425
2000:1.792310;2000:1.802257;2000:0.337417
